,Indice,Ano,Novela,Média,Emissora,Horário,ID_novel
682,58,2016,Pé na Cova:  5ª Temporada,142,GLOBO ,SÉRIES,penacova5atemporada2016
683,59,2016,Chapa  Quente: 2ª Temporada,209,GLOBO ,SÉRIES,chapaquente2atemporada2016
684,60,2016,Mister  Brau: 2ª Temporada,206,GLOBO ,SÉRIES,misterbrau2atemporada2016
685,61,2016,Supermax,110,GLOBO ,SÉRIES,supermax2016
686,62,2016,Nada Será  Como Antes,178,GLOBO ,SÉRIES,nadaseracomoantes2016
687,63,2016,Escolinha  do Professor Raimundo: 2ª Temporada,127,GLOBO ,SÉRIES,escolinhadoprofessorraimundo2atemporada2016
688,64,2016,A Cara do  Pai: 1ª Temporada,92,GLOBO ,SÉRIES,acaradopai1atemporada2016
689,65,2017,Tá no Ar:  4ª Temporada,140,GLOBO ,SÉRIES,tanoar4atemporada2017
690,66,2017,O Álbum da  Grande Família: 1ª Temporada,73,GLOBO ,SÉRIES,oalbumdagrandefamilia1atemporada2017
691,67,2017,Mister  Brau: 3ª Temporada,230,GLOBO ,SÉRIES,misterbrau3atemporada2017
692,68,2017,Vade Retro,152,GLOBO ,SÉRIES,vaderetro2017
693,69,2017,A Fórmula,153,GLOBO ,SÉRIES,aformula2017
694,70,2017,Sob  Pressão: 1ª Temporada,275,GLOBO ,SÉRIES,sobpressao1atemporada2017
695,71,2017,Os  Trapalhões,133,GLOBO ,SÉRIES,ostrapalhoes2017
696,72,2017,Filhos da  Pátria: 1ª Temporada,113,GLOBO ,SÉRIES,filhosdapatria1atemporada2017
697,73,2017,Cidade  Proibida,191,GLOBO ,SÉRIES,cidadeproibida2017
698,74,2017,A Cara do  Pai: 2ª Temporada,135,GLOBO ,SÉRIES,acaradopai2atemporada2017
699,75,2017,Escolinha  do Professor Raimundo: 3ª Temporada,142,GLOBO ,SÉRIES,escolinhadoprofessorraimundo3atemporada2017
700,76,2018,Tá no Ar:  5ª Temporada,143,GLOBO ,SÉRIES,tanoar5atemporada2018
701,77,2018,Brasil a  Bordo,150,GLOBO ,SÉRIES,brasilabordo2018
702,78,2018,Mister  Brau: 4ª Temporada,215,GLOBO ,SÉRIES,misterbrau4atemporada2018
703,79,2018,Carcereiros:  1ª Temporada,211,GLOBO ,SÉRIES,carcereiros1atemporada2018
704,80,2018,Sob  Pressão: 2ª Temporada,213,GLOBO ,SÉRIES,sobpressao2atemporada2018
705,81,2018,Escolinha  do Professor Raimundo: 4ª Temporada,125,GLOBO ,SÉRIES,escolinhadoprofessorraimundo4atemporada2018
706,82,2018,Pais de  Primeira,99,GLOBO ,SÉRIES,paisdeprimeira2018
707,83,2019,Tá no Ar:  6ª Temporada,113,GLOBO ,SÉRIES,tanoar6atemporada2019
708,84,2019,O Álbum da  Grande Família: 2ª Temporada,136,GLOBO ,SÉRIES,oalbumdagrandefamilia2atemporada2019
709,85,2019,Carcereiros:  2ª Temporada,140,GLOBO ,SÉRIES,carcereiros2atemporada2019
710,86,2019,Sob  Pressão: 3ª Temporada,222,GLOBO ,SÉRIES,sobpressao3atemporada2019
711,87,2019,Assédio: 1ª  Temporada,139,GLOBO ,SÉRIES,assedio1atemporada2019
712,88,2019,Cine  Holliúdy: 1ª Temporada,230,GLOBO ,SÉRIES,cineholliudy1atemporada2019
713,89,2019,Escolinha  do Professor Raimundo: 5ª Temporada,118,GLOBO ,SÉRIES,escolinhadoprofessorraimundo5atemporada2019
714,90,2019,Filhos da  Pátria: 2ª Temporada,129,GLOBO ,SÉRIES,filhosdapatria2atemporada2019
715,91,2019,Segunda  Chamada: 1ª Temporada,204,GLOBO ,SÉRIES,segundachamada1atemporada2019
716,92,,,,GLOBO ,SÉRIES,
717,93,Ano,Série,Média,GLOBO ,SÉRIES,serieAno
718,94,2020,Aruanas: 1ª  Temporada,194,GLOBO ,SÉRIES,aruanas1atemporada2020
719,95,2020,Diário de  um Confinado,180,GLOBO ,SÉRIES,diariodeumconfinado2020
720,96,2020,Amor e  Sorte,195,GLOBO ,SÉRIES,amoresorte2020
721,97,2020,Sob  Pressão: Plantão Covid,185,GLOBO ,SÉRIES,sobpressaoplantaocovid2020
722,98,2020,Escolinha  do Professor Raimundo: 6ª Temporada,98,GLOBO ,SÉRIES,escolinhadoprofessorraimundo6atemporada2020
723,99,2021,Shippados:  1ª Temporada,136,GLOBO ,SÉRIES,shippados1atemporada2021
724,100,2021,Carcereiros:  3ª Temporada,213,GLOBO ,SÉRIES,carcereiros3atemporada2021
725,101,2021,Todas as  Mulheres do Mundo,140,GLOBO ,SÉRIES,todasasmulheresdomundo2021
726,102,2021,Arcanjo Renegado:  1ª Temporada,147,GLOBO ,SÉRIES,arcanjorenegado1atemporada2021
727,103,2021,Em Nome de  Deus,148,GLOBO ,SÉRIES,emnomededeus2021
728,104,2021,Sandy &  Junior: A História,103,GLOBO ,SÉRIES,sandyejuniorahistoria2021
729,105,2021,Vai que  Cola: 7ª Temporada,170,GLOBO ,SÉRIES,vaiquecola7atemporada2021
730,106,2021,Ilha de  Ferro: 1ª Temporada,152,GLOBO ,SÉRIES,ilhadeferro1atemporada2021
731,107,2021,Sob  Pressão: 4ª Temporada,189,GLOBO ,SÉRIES,sobpressao4atemporada2021
732,108,2021,Desalma: 1ª  Temporada,43,GLOBO ,SÉRIES,desalma1atemporada2021
733,109,2021,As Five: 1ª  Temporada,77,GLOBO ,SÉRIES,asfive1atemporada2021
734,110,2021,"Eu, a Vó e  a Boi: 1ª Temporada",41,GLOBO ,SÉRIES,euavoeaboi1atemporada2021
735,111,2021,Vai que  Cola: 8ª Temporada,61,GLOBO ,SÉRIES,vaiquecola8atemporada2021
736,112,2021,Fé na Vida:  1ª Temporada,162,GLOBO ,SÉRIES,fenavida1atemporada2021
737,113,2022,Vai que  Cola: 9ª Temporada,94,GLOBO ,SÉRIES,vaiquecola9atemporada2022
738,114,2022,Filhas de Eva:  1ª Temporada,185,GLOBO ,SÉRIES,filhasdeeva1atemporada2022
739,115,2022,Cine  Holliúdy: 2ª Temporada,179,GLOBO ,SÉRIES,cineholliudy2atemporada2022
740,116,2022,Ilha de  Ferro: 2ª Temporada,141,GLOBO ,SÉRIES,ilhadeferro2atemporada2022
741,117,2022,Família  Paraíso: 1ª Temporada,104,GLOBO ,SÉRIES,familiaparaiso1atemporada2022
742,118,2023,"Pluft, o  Fantasminha",98,GLOBO ,SÉRIES,pluftofantasminha2023
743,119,2023,Onde Está  Meu Coração,-,GLOBO ,SÉRIES,ondeestameucoracao2023
744,120,,,,GLOBO ,SÉRIES,
745,121,,,,GLOBO ,SÉRIES,
746,122,INTERNACIONAIS,INTERNACIONAIS,,GLOBO ,SÉRIES,internacionaisINTERNACIONAIS
747,123,,,,GLOBO ,SÉRIES,
748,124,Ano,Série,Média,GLOBO ,SÉRIES,serieAno
749,125,2013,Terra Nova,70,GLOBO ,SÉRIES,terranova2013
750,126,2013,Castle,60,GLOBO ,SÉRIES,castle2013
751,127,2013,Prova do  Crime,81,GLOBO ,SÉRIES,provadocrime2013
752,128,2014,Under the  Dome: 1ª Temporada,72,GLOBO ,SÉRIES,underthedome1atemporada2014
753,129,2015,Under the  Dome: 2ª Temporada,74,GLOBO ,SÉRIES,underthedome2atemporada2015
754,130,2015,Filhos da  Guerra,43,GLOBO ,SÉRIES,filhosdaguerra2015
755,131,2017,Máquina  Mortífera: 1ª Temporada,162,GLOBO ,SÉRIES,maquinamortifera1atemporada2017
756,132,2018,Máquina  Mortífera: 2ª Temporada,145,GLOBO ,SÉRIES,maquinamortifera2atemporada2018
757,133,2019,Máquina  Mortífera: 3ª Temporada,153,GLOBO ,SÉRIES,maquinamortifera3atemporada2019
758,134,2019,The Good  Doctor: 1ª Temporada,133,GLOBO ,SÉRIES,thegooddoctor1atemporada2019
759,135,2020,Manifest:  1ª Temporada,144,GLOBO ,SÉRIES,manifest1atemporada2020
760,136,2020,The Good  Doctor: 2ª Temporada,127,GLOBO ,SÉRIES,thegooddoctor2atemporada2020
761,137,2021,The Good  Doctor: 3ª Temporada,108,GLOBO ,SÉRIES,thegooddoctor3atemporada2021
762,138,2022,The Good  Doctor: 4ª Temporada,97,GLOBO ,SÉRIES,thegooddoctor4atemporada2022
763,139,2022,This is Us:  1ª Temporada,133,GLOBO ,SÉRIES,thisisus1atemporada2022
764,140,,,,GLOBO ,SÉRIES,
765,141,,,,GLOBO ,SÉRIES,
766,142,REPRISES,REPRISES,,GLOBO ,SÉRIES,reprisesREPRISES
767,143,,,,GLOBO ,SÉRIES,
768,144,Ano,Série,Média,GLOBO ,SÉRIES,serieAno
769,145,2020,Cine  Holliúdy: 1ª Temporada,224,GLOBO ,SÉRIES,cineholliudy1atemporada2020
770,146,2020,Tapas &  Beijos,131,GLOBO ,SÉRIES,tapasebeijos2020
771,0,Ano,Minissérie,Média,GLOBO ,MINISSÉRIES,minisserieAno
772,1,1982,Lampião e  Maria Bonita,221,GLOBO ,MINISSÉRIES,lampiaoemariabonita1982
773,2,1982,Avenida  Paulista,162,GLOBO ,MINISSÉRIES,avenidapaulista1982
774,3,1982,Quem Ama  Não Mata,176,GLOBO ,MINISSÉRIES,quemamanaomata1982
775,4,1983,Moinhos de  Vento,158,GLOBO ,MINISSÉRIES,moinhosdevento1983
776,5,1983,Bandidos da  Falange,196,GLOBO ,MINISSÉRIES,bandidosdafalange1983
777,6,1983,Parabéns  pra Você,209,GLOBO ,MINISSÉRIES,parabenspravoce1983
778,7,1984,Padre  Cícero,140,GLOBO ,MINISSÉRIES,padrecicero1984
779,8,1984,"Anarquistas,  Graças a Deus",147,GLOBO ,MINISSÉRIES,anarquistasgracasadeus1984
780,9,1984,Meu Destino  é Pecar,155,GLOBO ,MINISSÉRIES,meudestinoepecar1984
781,10,1984,A Máfia no  Brasil,221,GLOBO ,MINISSÉRIES,amafianobrasil1984
782,11,1984,Rabo-de-Saia,231,GLOBO ,MINISSÉRIES,rabodesaia1984
783,12,1985,O Tempo e o  Vento,247,GLOBO ,MINISSÉRIES,otempoeovento1985
784,13,1985,Tenda  dos Milagres,-,GLOBO ,MINISSÉRIES,tendadosmilagres1985
785,14,1985,Grande  Sertão: Veredas,284,GLOBO ,MINISSÉRIES,grandesertaoveredas1985
786,15,1986,Anos  Dourados,367,GLOBO ,MINISSÉRIES,anosdourados1986
787,16,1986,Memórias de  um Gigolô,295,GLOBO ,MINISSÉRIES,memoriasdeumgigolo1986
788,17,1988,O Pagador  de Promessas,309,GLOBO ,MINISSÉRIES,opagadordepromessas1988
789,18,1988,O  Primo Basílio,-,GLOBO ,MINISSÉRIES,oprimobasilio1988
790,19,1988,Abolição,160,GLOBO ,MINISSÉRIES,abolicao1988
791,20,1989,Sampa,123,GLOBO ,MINISSÉRIES,sampa1989
792,21,1989,República,157,GLOBO ,MINISSÉRIES,republica1989
793,22,,,,GLOBO ,MINISSÉRIES,
794,23,Ano,Minissérie,Média,GLOBO ,MINISSÉRIES,minisserieAno
795,24,1990,Desejo,247,GLOBO ,MINISSÉRIES,desejo1990
796,25,1990,"A, E, I,  O... Urca",189,GLOBO ,MINISSÉRIES,aeiourca1990
797,26,1990,Boca do  Lixo,183,GLOBO ,MINISSÉRIES,bocadolixo1990
798,27,1990,Riacho Doce,307,GLOBO ,MINISSÉRIES,riachodoce1990
799,28,1990,La Mamma,302,GLOBO ,MINISSÉRIES,lamamma1990
800,29,1991,Meu Marido,171,GLOBO ,MINISSÉRIES,meumarido1991
801,30,1991,O Sorriso  do Lagarto,205,GLOBO ,MINISSÉRIES,osorrisodolagarto1991
802,31,1991,O Portador,230,GLOBO ,MINISSÉRIES,oportador1991
803,32,1992,Tereza  Batista,300,GLOBO ,MINISSÉRIES,terezabatista1992
804,33,1992,As Noivas  de Copacabana,266,GLOBO ,MINISSÉRIES,asnoivasdecopacabana1992
805,34,1992,Anos  Rebeldes,289,GLOBO ,MINISSÉRIES,anosrebeldes1992
806,35,1993,Contos de  Verão,218,GLOBO ,MINISSÉRIES,contosdeverao1993
807,36,1993,Sex Appeal,255,GLOBO ,MINISSÉRIES,sexappeal1993
808,37,1993,Agosto,266,GLOBO ,MINISSÉRIES,agosto1993
809,38,1994,A Madona de  Cedro,214,GLOBO ,MINISSÉRIES,amadonadecedro1994
810,39,1994,Memorial de  Maria Moura,374,GLOBO ,MINISSÉRIES,memorialdemariamoura1994
811,40,1994,Incidente  em Antares,284,GLOBO ,MINISSÉRIES,incidenteemantares1994
812,41,1995,Engraçadinha,315,GLOBO ,MINISSÉRIES,engracadinha1995
813,42,1995,Decadência,296,GLOBO ,MINISSÉRIES,decadencia1995
814,43,1997,Guerra de  Canudos,183,GLOBO ,MINISSÉRIES,guerradecanudos1997
815,44,1998,Dona Flor e  seus Dois Maridos,233,GLOBO ,MINISSÉRIES,donafloreseusdoismaridos1998
816,45,1998,Hilda Furacão,288,GLOBO ,MINISSÉRIES,hildafuracao1998
817,46,1998,Labirinto,249,GLOBO ,MINISSÉRIES,labirinto1998
818,47,1999,O Auto da  Compadecida,378,GLOBO ,MINISSÉRIES,oautodacompadecida1999
819,48,1999,Chiquinha  Gonzaga,292,GLOBO ,MINISSÉRIES,chiquinhagonzaga1999
820,49,1999,Luna  Caliente,217,GLOBO ,MINISSÉRIES,lunacaliente1999
821,50,,,,GLOBO ,MINISSÉRIES,
822,51,Ano,Minissérie,Média,GLOBO ,MINISSÉRIES,minisserieAno
823,52,2000,A Muralha,292,GLOBO ,MINISSÉRIES,amuralha2000
824,53,2000,A Invenção  do Brasil,223,GLOBO ,MINISSÉRIES,ainvencaodobrasil2000
825,54,2000,Aquarela do  Brasil,196,GLOBO ,MINISSÉRIES,aquareladobrasil2000
826,55,2001,Os Maias,159,GLOBO ,MINISSÉRIES,osmaias2001
827,56,2001,Presença de  Anita,299,GLOBO ,MINISSÉRIES,presencadeanita2001
828,57,2002,O Quinto  dos Infernos,230,GLOBO ,MINISSÉRIES,oquintodosinfernos2002
829,58,2003,A Casa das  Sete Mulheres,283,GLOBO ,MINISSÉRIES,acasadassetemulheres2003
830,59,2004,Um Só  Coração,277,GLOBO ,MINISSÉRIES,umsocoracao2004
831,60,2005,Hoje é Dia  de Maria,293,GLOBO ,MINISSÉRIES,hojeediademaria2005
832,61,2005,Mad Maria,219,GLOBO ,MINISSÉRIES,madmaria2005
833,62,2005,Hoje é Dia  de Maria: 2ª Jornada,220,GLOBO ,MINISSÉRIES,hojeediademaria2ajornada2005
834,63,2006,JK,260,GLOBO ,MINISSÉRIES,jk2006
835,64,2007,Amazônia,227,GLOBO ,MINISSÉRIES,amazonia2007
836,65,2007,A Pedra do  Reino,113,GLOBO ,MINISSÉRIES,apedradoreino2007
837,66,2008,Queridos  Amigos,181,GLOBO ,MINISSÉRIES,queridosamigos2008
838,67,2008,Poeira em  Alto Mar,186,GLOBO ,MINISSÉRIES,poeiraemaltomar2008
839,68,2008,Capitu,154,GLOBO ,MINISSÉRIES,capitu2008
840,69,2009,Maysa:  Quando Fala o Coração,261,GLOBO ,MINISSÉRIES,maysaquandofalaocoracao2009
841,70,2009,Deu a Louca  no Tempo,188,GLOBO ,MINISSÉRIES,deualoucanotempo2009
842,71,2009,Som e Fúria,151,GLOBO ,MINISSÉRIES,somefuria2009
843,72,2009,Acampamento  de Férias,190,GLOBO ,MINISSÉRIES,acampamentodeferias2009
844,73,2009,Cinquentinha,198,GLOBO ,MINISSÉRIES,cinquentinha2009
845,74,,,,GLOBO ,MINISSÉRIES,
846,75,Ano,Minissérie,Média,GLOBO ,MINISSÉRIES,minisserieAno
847,76,2010,Dalva e  Herivelto,294,GLOBO ,MINISSÉRIES,dalvaeherivelto2010
848,77,2010,O que  Querem as Mulheres?,120,GLOBO ,MINISSÉRIES,oquequeremasmulheres?2010
849,78,2011,Amor em 4  Atos,193,GLOBO ,MINISSÉRIES,amorem4atos2011
850,79,2011,O Bem Amado,165,GLOBO ,MINISSÉRIES,obemamado2011
851,80,2011,Acampamento  de Férias II,140,GLOBO ,MINISSÉRIES,acampamentodeferiasii2011
852,81,2011,Chico  Xavier,168,GLOBO ,MINISSÉRIES,chicoxavier2011
853,82,2012,Acampamento  de Férias III,126,GLOBO ,MINISSÉRIES,acampamentodeferiasiii2012
854,83,2012,Dercy de  Verdade,238,GLOBO ,MINISSÉRIES,dercydeverdade2012
855,84,2012,O Brado  Retumbante,148,GLOBO ,MINISSÉRIES,obradoretumbante2012
856,85,2012,Suburbia,115,GLOBO ,MINISSÉRIES,suburbia2012
857,86,2012,Xingu,140,GLOBO ,MINISSÉRIES,xingu2012
858,87,2013,O Canto da  Sereia,210,GLOBO ,MINISSÉRIES,ocantodasereia2013
859,88,2013,Gonzaga: De  Pai pra Filho,195,GLOBO ,MINISSÉRIES,gonzagadepaiprafilho2013
860,89,2014,O Tempo e o  Vento,247,GLOBO ,MINISSÉRIES,otempoeovento2014
861,90,2014,Amores  Roubados,282,GLOBO ,MINISSÉRIES,amoresroubados2014
862,91,2014,Serra  Pelada,180,GLOBO ,MINISSÉRIES,serrapelada2014
863,92,2015,Tim Maia,255,GLOBO ,MINISSÉRIES,timmaia2015
864,93,2015,Felizes  Para Sempre?,170,GLOBO ,MINISSÉRIES,felizesparasempre?2015
865,94,2016,Ligações  Perigosas,224,GLOBO ,MINISSÉRIES,ligacoesperigosas2016
866,95,2016,Alemão,177,GLOBO ,MINISSÉRIES,alemao2016
867,96,2016,Justiça,261,GLOBO ,MINISSÉRIES,justica2016
868,97,2017,Aldo: Mais  Forte que o Mundo,235,GLOBO ,MINISSÉRIES,aldomaisfortequeomundo2017
869,98,2017,Dois Irmãos,208,GLOBO ,MINISSÉRIES,doisirmaos2017
870,99,2017,Cidade dos  Homens: 1ª Temporada,178,GLOBO ,MINISSÉRIES,cidadedoshomens1atemporada2017
871,100,2017,Malasartes,282,GLOBO ,MINISSÉRIES,malasartes2017
872,101,2018,Entre Irmãs,307,GLOBO ,MINISSÉRIES,entreirmas2018
873,102,2018,Cidade dos  Homens: 2ª Temporada,224,GLOBO ,MINISSÉRIES,cidadedoshomens2atemporada2018
874,103,2018,Treze Dias  Longe do Sol,294,GLOBO ,MINISSÉRIES,trezediaslongedosol2018
875,104,2019,Elis: Viver  é Melhor que Sonhar,186,GLOBO ,MINISSÉRIES,elisviveremelhorquesonhar2019
876,105,2019,10 Segundos  para Vencer,121,GLOBO ,MINISSÉRIES,10segundosparavencer2019
877,106,2019,Se Eu  Fechar os Olhos Agora,194,GLOBO ,MINISSÉRIES,seeufecharosolhosagora2019
878,107,,,,GLOBO ,MINISSÉRIES,
879,108,Ano,Minissérie,Média,GLOBO ,MINISSÉRIES,minisserieAno
880,109,2020,Chacrinha,226,GLOBO ,MINISSÉRIES,chacrinha2020
881,110,2020,Hebe,186,GLOBO ,MINISSÉRIES,hebe2020
882,111,2021,Passaporte  para Liberdade,100,GLOBO ,MINISSÉRIES,passaporteparaliberdade2021
883,112,2023,Histórias  Quase Verdadeiras,181,GLOBO ,MINISSÉRIES,historiasquaseverdadeiras2023
884,113,2023,8  Presidentes e 1 Juramento,118,GLOBO ,MINISSÉRIES,8presidentese1juramento2023
885,114,2023,Marighella,91,GLOBO ,MINISSÉRIES,marighella2023
886,115,,,,GLOBO ,MINISSÉRIES,
887,116,,,,GLOBO ,MINISSÉRIES,
888,117,INTERNACIONAIS,INTERNACIONAIS,,GLOBO ,MINISSÉRIES,internacionaisINTERNACIONAIS
889,118,,,,GLOBO ,MINISSÉRIES,
890,119,Ano,Minissérie,Média,GLOBO ,MINISSÉRIES,minisserieAno
891,120,2016,Terra do  Nunca,217,GLOBO ,MINISSÉRIES,terradonunca2016
892,121,2017,Raízes,180,GLOBO ,MINISSÉRIES,raizes2017
893,122,2019,Meu Nome é  Liberdade,150,GLOBO ,MINISSÉRIES,meunomeeliberdade2019
894,123,2020,Madiba,151,GLOBO ,MINISSÉRIES,madiba2020
895,124,2021,A Cor do  Poder,209,GLOBO ,MINISSÉRIES,acordopoder2021
896,125,,,,GLOBO ,MINISSÉRIES,
897,126,,,,GLOBO ,MINISSÉRIES,
898,127,REPRISES,REPRISES,,GLOBO ,MINISSÉRIES,reprisesREPRISES
899,128,,,,GLOBO ,MINISSÉRIES,
900,129,Ano,Minissérie,Média,GLOBO ,MINISSÉRIES,minisserieAno
901,130,1984,Bandidos da  Falange,134,GLOBO ,MINISSÉRIES,bandidosdafalange1984
902,131,1984,Lampião e  Maria Bonita,188,GLOBO ,MINISSÉRIES,lampiaoemariabonita1984
903,132,1985,Avenida  Paulista,149,GLOBO ,MINISSÉRIES,avenidapaulista1985
904,133,1988,Rabo-de-Saia,216,GLOBO ,MINISSÉRIES,rabodesaia1988
905,134,1988,A Máfia no  Brasil,174,GLOBO ,MINISSÉRIES,amafianobrasil1988
906,135,1988,O Tempo e o  Vento,222,GLOBO ,MINISSÉRIES,otempoeovento1988
907,136,1988,Anos  Dourados,188,GLOBO ,MINISSÉRIES,anosdourados1988
908,137,1995,O Tempo e o  Vento,208,GLOBO ,MINISSÉRIES,otempoeovento1995
909,138,1995,As Noivas  de Copacabana,263,GLOBO ,MINISSÉRIES,asnoivasdecopacabana1995
910,139,1995,Agosto,133,GLOBO ,MINISSÉRIES,agosto1995
911,140,1995,Boca do  Lixo,190,GLOBO ,MINISSÉRIES,bocadolixo1995
912,141,1995,Anos  Rebeldes,163,GLOBO ,MINISSÉRIES,anosrebeldes1995
913,142,1995,Desejo,193,GLOBO ,MINISSÉRIES,desejo1995
914,143,1998,Memorial de  Maria Moura,210,GLOBO ,MINISSÉRIES,memorialdemariamoura1998
915,144,1998,Engraçadinha,213,GLOBO ,MINISSÉRIES,engracadinha1998
916,145,1998,Desejo,171,GLOBO ,MINISSÉRIES,desejo1998
917,146,1998,As Noivas  de Copacabana,211,GLOBO ,MINISSÉRIES,asnoivasdecopacabana1998
918,147,1999,O Pagador  de Promessas,200,GLOBO ,MINISSÉRIES,opagadordepromessas1999
919,148,2002,Dona Flor e  seus Dois Maridos,96,GLOBO ,MINISSÉRIES,donafloreseusdoismaridos2002
920,149,2002,Engraçadinha,191,GLOBO ,MINISSÉRIES,engracadinha2002
921,150,2002,Presença de  Anita,210,GLOBO ,MINISSÉRIES,presencadeanita2002
922,151,2006,A  Casa das Sete Mulheres,-,GLOBO ,MINISSÉRIES,acasadassetemulheres2006
923,152,2017,Gonzaga: De  Pai pra Filho,97,GLOBO ,MINISSÉRIES,gonzagadepaiprafilho2017
924,153,2020,O Auto da  Compadecida,265,GLOBO ,MINISSÉRIES,oautodacompadecida2020
925,0,Ano,Reality,Média,GLOBO ,REALITY SHOW,realityAno
926,1,2002,Big Brother  Brasil 1,412,GLOBO ,REALITY SHOW,bigbrotherbrasil12002
927,2,2002,Big Brother  Brasil 2,384,GLOBO ,REALITY SHOW,bigbrotherbrasil22002
928,3,2003,Big Brother  Brasil 3,383,GLOBO ,REALITY SHOW,bigbrotherbrasil32003
929,4,2004,Big Brother  Brasil 4,447,GLOBO ,REALITY SHOW,bigbrotherbrasil42004
930,5,2005,Big Brother  Brasil 5,473,GLOBO ,REALITY SHOW,bigbrotherbrasil52005
931,6,2006,Big Brother  Brasil 6,427,GLOBO ,REALITY SHOW,bigbrotherbrasil62006
932,7,2007,Big Brother  Brasil 7,413,GLOBO ,REALITY SHOW,bigbrotherbrasil72007
933,8,2008,Big Brother  Brasil 8,373,GLOBO ,REALITY SHOW,bigbrotherbrasil82008
934,9,2009,Big Brother  Brasil 9,325,GLOBO ,REALITY SHOW,bigbrotherbrasil92009
935,10,,,,GLOBO ,REALITY SHOW,
936,11,Ano,Reality,Média,GLOBO ,REALITY SHOW,realityAno
937,12,2010,Big Brother  Brasil 10,310,GLOBO ,REALITY SHOW,bigbrotherbrasil102010
938,13,2011,Big Brother  Brasil 11,255,GLOBO ,REALITY SHOW,bigbrotherbrasil112011
939,14,2012,Big Brother  Brasil 12,265,GLOBO ,REALITY SHOW,bigbrotherbrasil122012
940,15,2012,The Voice  Brasil: 1ª Temporada,146,GLOBO ,REALITY SHOW,thevoicebrasil1atemporada2012
941,16,2012,The Voice  Brasil: 2ª Temporada,258,GLOBO ,REALITY SHOW,thevoicebrasil2atemporada2012
942,17,2013,Big Brother  Brasil 13,247,GLOBO ,REALITY SHOW,bigbrotherbrasil132013
943,18,2014,Big Brother  Brasil 14,229,GLOBO ,REALITY SHOW,bigbrotherbrasil142014
944,19,2014,The Voice  Brasil: 3ª Temporada,221,GLOBO ,REALITY SHOW,thevoicebrasil3atemporada2014
945,20,2015,Big Brother  Brasil 15,239,GLOBO ,REALITY SHOW,bigbrotherbrasil152015
946,21,2015,Superstar:  2ª Temporada,109,GLOBO ,REALITY SHOW,superstar2atemporada2015
947,22,2015,The Voice  Brasil: 4ª Temporada,203,GLOBO ,REALITY SHOW,thevoicebrasil4atemporada2015
948,23,2016,The Voice  Kids: 1ª Temporada,160,GLOBO ,REALITY SHOW,thevoicekids1atemporada2016
949,24,2016,Big Brother  Brasil 16,236,GLOBO ,REALITY SHOW,bigbrotherbrasil162016
950,25,2016,Superstar:  3ª Temporada,105,GLOBO ,REALITY SHOW,superstar3atemporada2016
951,26,2016,The Voice  Brasil: 5ª Temporada,216,GLOBO ,REALITY SHOW,thevoicebrasil5atemporada2016
952,27,2017,The Voice  Kids: 2ª Temporada,158,GLOBO ,REALITY SHOW,thevoicekids2atemporada2017
953,28,2017,Big Brother  Brasil 17,229,GLOBO ,REALITY SHOW,bigbrotherbrasil172017
954,29,2017,PopStar: 1ª  Temporada,135,GLOBO ,REALITY SHOW,popstar1atemporada2017
955,30,2017,The Voice  Brasil: 6ª Temporada,234,GLOBO ,REALITY SHOW,thevoicebrasil6atemporada2017
956,31,2018,The Voice  Kids: 3ª Temporada,182,GLOBO ,REALITY SHOW,thevoicekids3atemporada2018
957,32,2018,Big Brother  Brasil 18,257,GLOBO ,REALITY SHOW,bigbrotherbrasil182018
958,33,2018,The Voice  Brasil: 7ª Temporada,237,GLOBO ,REALITY SHOW,thevoicebrasil7atemporada2018
959,34,2018,PopStar: 2ª  Temporada,121,GLOBO ,REALITY SHOW,popstar2atemporada2018
960,35,2019,The Voice  Kids: 4ª Temporada,160,GLOBO ,REALITY SHOW,thevoicekids4atemporada2019
961,36,2019,Big Brother  Brasil 19,200,GLOBO ,REALITY SHOW,bigbrotherbrasil192019
962,37,2019,The Voice  Brasil: 8ª Temporada,251,GLOBO ,REALITY SHOW,thevoicebrasil8atemporada2019
963,38,2019,Mestre do  Sabor: 1ª Temporada,177,GLOBO ,REALITY SHOW,mestredosabor1atemporada2019
964,39,2019,PopStar: 3ª  Temporada,103,GLOBO ,REALITY SHOW,popstar3atemporada2019
965,40,,,,GLOBO ,REALITY SHOW,
966,41,Ano,Reality,Média,GLOBO ,REALITY SHOW,realityAno
967,42,2020,The Voice  Kids: 5ª Temporada,128,GLOBO ,REALITY SHOW,thevoicekids5atemporada2020
968,43,2020,Big Brother  Brasil 20,253,GLOBO ,REALITY SHOW,bigbrotherbrasil202020
969,44,2020,Mestre do  Sabor: 1ª Temporada,182,GLOBO ,REALITY SHOW,mestredosabor1atemporada2020
970,45,2020,The Voice  Brasil: 9ª Temporada,161,GLOBO ,REALITY SHOW,thevoicebrasil9atemporada2020
971,46,2021,The Voice  +: 1ª Temporada,132,GLOBO ,REALITY SHOW,thevoice+1atemporada2021
972,47,2021,Big Brother  Brasil 21,281,GLOBO ,REALITY SHOW,bigbrotherbrasil212021
973,48,2021,Mestre do  Sabor: 3ª Temporada,163,GLOBO ,REALITY SHOW,mestredosabor3atemporada2021
974,49,2021,No Limite:  5ª Temporada,175,GLOBO ,REALITY SHOW,nolimite5atemporada2021
975,50,2021,The Voice  Kids: 6ª Temporada,121,GLOBO ,REALITY SHOW,thevoicekids6atemporada2021
