,0,1,2,Emissora,Horario
79,2011,O Clone,169,GLOBO ,VALE A PENA VER DE NOVO
80,2011,Mulheres de  Areia,156,GLOBO ,VALE A PENA VER DE NOVO
81,2012,Chocolate  com Pimenta,149,GLOBO ,VALE A PENA VER DE NOVO
82,2012,Da Cor do  Pecado,135,GLOBO ,VALE A PENA VER DE NOVO
83,2013,O Profeta,118,GLOBO ,VALE A PENA VER DE NOVO
84,2013,O Cravo e a  Rosa,138,GLOBO ,VALE A PENA VER DE NOVO
85,2014,Caras &  Bocas,142,GLOBO ,VALE A PENA VER DE NOVO
86,2014,Cobras  & Lagartos,125,GLOBO ,VALE A PENA VER DE NOVO
87,2015,O Rei do  Gado,174,GLOBO ,VALE A PENA VER DE NOVO
88,2015,Caminho das  Índias,142,GLOBO ,VALE A PENA VER DE NOVO
89,2016,Anjo Mau,145,GLOBO ,VALE A PENA VER DE NOVO
90,2016,Cheias de  Charme,167,GLOBO ,VALE A PENA VER DE NOVO
91,2017,Senhora do  Destino,180,GLOBO ,VALE A PENA VER DE NOVO
92,2017,Celebridade,139,GLOBO ,VALE A PENA VER DE NOVO
93,2018,Belíssima,137,GLOBO ,VALE A PENA VER DE NOVO
94,2019,Cordel  Encantado,160,GLOBO ,VALE A PENA VER DE NOVO
95,2019,Por Amor,178,GLOBO ,VALE A PENA VER DE NOVO
96,2019,Avenida  Brasil,188,GLOBO ,VALE A PENA VER DE NOVO
97,,,,GLOBO ,VALE A PENA VER DE NOVO
98,Ano,Novela,Média,GLOBO ,VALE A PENA VER DE NOVO
99,2020,Eta Mundo  Bom!,217,GLOBO ,VALE A PENA VER DE NOVO
100,2020,Laços de  Família,188,GLOBO ,VALE A PENA VER DE NOVO
101,2021,Ti Ti Ti,146,GLOBO ,VALE A PENA VER DE NOVO
102,2021,O Clone,154,GLOBO ,VALE A PENA VER DE NOVO
103,2022,A Favorita,157,GLOBO ,VALE A PENA VER DE NOVO
104,2022,O Rei do  Gado,-,GLOBO ,VALE A PENA VER DE NOVO
0,Ano,Novela,Média,GLOBO ,NOVELAS DAS 18H
1,1971,Meu  Pedacinho de Chão,254,GLOBO ,NOVELAS DAS 18H
2,1972,Bicho do  Mato,306,GLOBO ,NOVELAS DAS 18H
3,1972,A Patota,271,GLOBO ,NOVELAS DAS 18H
4,1975,Helena,398,GLOBO ,NOVELAS DAS 18H
5,1975,O Noviço,357,GLOBO ,NOVELAS DAS 18H
6,1975,Senhora,361,GLOBO ,NOVELAS DAS 18H
