,0,1,2,Emissora,Horario
39,1986,Selva de  Pedra,597,GLOBO ,NOVELAS DAS 21H
40,1986,Roda de  Fogo,556,GLOBO ,NOVELAS DAS 21H
41,1987,O Outro,570,GLOBO ,NOVELAS DAS 21H
42,1987,Mandala,557,GLOBO ,NOVELAS DAS 21H
43,1988,Vale Tudo,612,GLOBO ,NOVELAS DAS 21H
44,1989,O Salvador  da Pátria,621,GLOBO ,NOVELAS DAS 21H
45,1989,Tieta,650,GLOBO ,NOVELAS DAS 21H
46,,,,GLOBO ,NOVELAS DAS 21H
47,Ano,Novela,Média,GLOBO ,NOVELAS DAS 21H
48,1990,Rainha da  Sucata,609,GLOBO ,NOVELAS DAS 21H
49,1990,"Meu Bem,  Meu Mal",503,GLOBO ,NOVELAS DAS 21H
50,1991,O Dono do  Mundo,433,GLOBO ,NOVELAS DAS 21H
51,1992,Pedra sobre  Pedra,546,GLOBO ,NOVELAS DAS 21H
52,1992,De Corpo e  Alma,529,GLOBO ,NOVELAS DAS 21H
53,1993,Renascer,609,GLOBO ,NOVELAS DAS 21H
54,1993,Fera Ferida,534,GLOBO ,NOVELAS DAS 21H
55,1994,Pátria  Minha,456,GLOBO ,NOVELAS DAS 21H
56,1995,A Próxima  Vítima,474,GLOBO ,NOVELAS DAS 21H
57,1995,Explode  Coração,474,GLOBO ,NOVELAS DAS 21H
58,1996,O Fim do  Mundo,468,GLOBO ,NOVELAS DAS 21H
59,1996,O Rei do  Gado,518,GLOBO ,NOVELAS DAS 21H
60,1997,A Indomada,479,GLOBO ,NOVELAS DAS 21H
61,1997,Por Amor,425,GLOBO ,NOVELAS DAS 21H
62,1998,Torre de  Babel,436,GLOBO ,NOVELAS DAS 21H
63,1999,Suave  Veneno,381,GLOBO ,NOVELAS DAS 21H
64,1999,Terra  Nostra,437,GLOBO ,NOVELAS DAS 21H
65,,,,GLOBO ,NOVELAS DAS 21H
66,Ano,Novela,Média,GLOBO ,NOVELAS DAS 21H
67,2000,Laços de  Família,449,GLOBO ,NOVELAS DAS 21H
68,2001,Porto dos  Milagres,444,GLOBO ,NOVELAS DAS 21H
69,2001,O Clone,468,GLOBO ,NOVELAS DAS 21H
70,2002,Esperança,380,GLOBO ,NOVELAS DAS 21H
71,2003,Mulheres  Apaixonadas,464,GLOBO ,NOVELAS DAS 21H
72,2003,Celebridade,461,GLOBO ,NOVELAS DAS 21H
73,2004,Senhora do  Destino,505,GLOBO ,NOVELAS DAS 21H
74,2005,América,492,GLOBO ,NOVELAS DAS 21H
75,2005,Belíssima,484,GLOBO ,NOVELAS DAS 21H
76,2006,Páginas da  Vida,471,GLOBO ,NOVELAS DAS 21H
77,2007,Paraíso  Tropical,429,GLOBO ,NOVELAS DAS 21H
78,2007,Duas Caras,410,GLOBO ,NOVELAS DAS 21H
79,2008,A Favorita,394,GLOBO ,NOVELAS DAS 21H
80,2009,Caminho das  Índias,386,GLOBO ,NOVELAS DAS 21H
81,2009,Viver a  Vida,357,GLOBO ,NOVELAS DAS 21H
82,,,,GLOBO ,NOVELAS DAS 21H
83,Ano,Novela,Média,GLOBO ,NOVELAS DAS 21H
84,2010,Passione,351,GLOBO ,NOVELAS DAS 21H
85,2011,Insensato  Coração,358,GLOBO ,NOVELAS DAS 21H
86,2011,Fina  Estampa,390,GLOBO ,NOVELAS DAS 21H
87,2012,Avenida  Brasil,387,GLOBO ,NOVELAS DAS 21H
88,2012,Salve Jorge,340,GLOBO ,NOVELAS DAS 21H
89,2013,Amor à Vida,356,GLOBO ,NOVELAS DAS 21H
90,2014,Em Família,297,GLOBO ,NOVELAS DAS 21H
91,2014,Império,327,GLOBO ,NOVELAS DAS 21H
92,2015,Babilônia,255,GLOBO ,NOVELAS DAS 21H
93,2015,A Regra do  Jogo,285,GLOBO ,NOVELAS DAS 21H
94,2016,Velho Chico,290,GLOBO ,NOVELAS DAS 21H
95,2016,A Lei do  Amor,272,GLOBO ,NOVELAS DAS 21H
96,2017,A Força do  Querer,357,GLOBO ,NOVELAS DAS 21H
97,2017,O Outro  Lado do Paraíso,382,GLOBO ,NOVELAS DAS 21H
98,2018,Segundo Sol,334,GLOBO ,NOVELAS DAS 21H
99,2018,O Sétimo  Guardião,288,GLOBO ,NOVELAS DAS 21H
100,2019,A Dona do  Pedaço,360,GLOBO ,NOVELAS DAS 21H
101,2019,Amor de Mãe,309,GLOBO ,NOVELAS DAS 21H
102,,,,GLOBO ,NOVELAS DAS 21H
103,Ano,Novela,Média,GLOBO ,NOVELAS DAS 21H
104,2021,Um Lugar ao  Sol,223,GLOBO ,NOVELAS DAS 21H
105,2022,Pantanal,296,GLOBO ,NOVELAS DAS 21H
106,2022,Travessia,-,GLOBO ,NOVELAS DAS 21H
107,,,,GLOBO ,NOVELAS DAS 21H
108,,,,GLOBO ,NOVELAS DAS 21H
109,REPRISES,REPRISES,,GLOBO ,NOVELAS DAS 21H
110,,,,GLOBO ,NOVELAS DAS 21H
111,Ano,Reprise,Média,GLOBO ,NOVELAS DAS 21H
112,1975,Selva de  Pedra,484,GLOBO ,NOVELAS DAS 21H
113,1983,O Casarão,279,GLOBO ,NOVELAS DAS 21H
114,2020,Fina  Estampa,336,GLOBO ,NOVELAS DAS 21H
115,2020,A Força do  Querer,299,GLOBO ,NOVELAS DAS 21H
116,2021,Império,274,GLOBO ,NOVELAS DAS 21H
0,Ano,Novela,Média,GLOBO ,NOVELAS DAS 22H
1,1965,Ilusões  Perdidas,14,GLOBO ,NOVELAS DAS 22H
2,1965,Marina,11,GLOBO ,NOVELAS DAS 22H
3,1965,Paixão  de Outono,33,GLOBO ,NOVELAS DAS 22H
4,1966,Um Rosto de  Mulher,50,GLOBO ,NOVELAS DAS 22H
5,1966,Eu Compro  esta Mulher,104,GLOBO ,NOVELAS DAS 22H
6,1966,O Sheik de  Agadir,123,GLOBO ,NOVELAS DAS 22H
7,1967,A  Rainha Louca,55,GLOBO ,NOVELAS DAS 22H
8,1967,O Homem  Proibido,66,GLOBO ,NOVELAS DAS 22H
9,1968,A Gata de  Vison,102,GLOBO ,NOVELAS DAS 22H
10,1969,A Última  Valsa,172,GLOBO ,NOVELAS DAS 22H
11,1969,A Ponte dos  Suspiros,174,GLOBO ,NOVELAS DAS 22H
12,,,,GLOBO ,NOVELAS DAS 22H
13,Ano,Novela,Média,GLOBO ,NOVELAS DAS 22H
14,1970,Verão  Vermelho,258,GLOBO ,NOVELAS DAS 22H
15,1970,Assim na  Terra como no Céu,319,GLOBO ,NOVELAS DAS 22H
16,1971,O Cafona,322,GLOBO ,NOVELAS DAS 22H
17,1971,Bandeira 2,301,GLOBO ,NOVELAS DAS 22H
18,1972,O Bofe,284,GLOBO ,NOVELAS DAS 22H
19,1973,O Bem-Amado,303,GLOBO ,NOVELAS DAS 22H
20,1973,Os Ossos do  Barão,245,GLOBO ,NOVELAS DAS 22H
21,1974,O Espigão,277,GLOBO ,NOVELAS DAS 22H
22,1974,O Rebu,245,GLOBO ,NOVELAS DAS 22H
23,1975,Gabriela,307,GLOBO ,NOVELAS DAS 22H
24,1975,O Grito,280,GLOBO ,NOVELAS DAS 22H
25,1976,Saramandaia,364,GLOBO ,NOVELAS DAS 22H
26,1977,Nina,301,GLOBO ,NOVELAS DAS 22H
27,1978,O Pulo do  Gato,282,GLOBO ,NOVELAS DAS 22H
28,1978,Sinal de  Alerta,241,GLOBO ,NOVELAS DAS 22H
29,,,,GLOBO ,NOVELAS DAS 22H
30,Ano,Novela,Média,GLOBO ,NOVELAS DAS 22H
31,1983,Eu Prometo,187,GLOBO ,NOVELAS DAS 22H
32,1990,Araponga,280,GLOBO ,NOVELAS DAS 22H
33,,,,GLOBO ,NOVELAS DAS 22H
34,,,,GLOBO ,NOVELAS DAS 22H
35,Ano,Reprise,Média,GLOBO ,NOVELAS DAS 22H
36,1977,O Bem-Amado,338,GLOBO ,NOVELAS DAS 22H
37,1979,Gabriela,337,GLOBO ,NOVELAS DAS 22H
38,1981,Duas Vidas,196,GLOBO ,NOVELAS DAS 22H
39,1981,O Astro,219,GLOBO ,NOVELAS DAS 22H
40,1982,Pecado  Capital,171,GLOBO ,NOVELAS DAS 22H
41,1982,Dancin’  Days,155,GLOBO ,NOVELAS DAS 22H
0,Ano,Novela,Média,GLOBO ,NOVELAS DAS 23H
1,2011,O Astro,190,GLOBO ,NOVELAS DAS 23H
2,2012,Gabriela,189,GLOBO ,NOVELAS DAS 23H
3,2013,Saramandaia,150,GLOBO ,NOVELAS DAS 23H
4,2014,O Rebu,153,GLOBO ,NOVELAS DAS 23H
5,2015,Verdades  Secretas,199,GLOBO ,NOVELAS DAS 23H
6,2016,"Liberdade,  Liberdade",185,GLOBO ,NOVELAS DAS 23H
7,2017,Os Dias  Eram Assim,211,GLOBO ,NOVELAS DAS 23H
8,2018,Onde Nascem  os Fortes,185,GLOBO ,NOVELAS DAS 23H
9,,,,GLOBO ,NOVELAS DAS 23H
10,Ano,Novela,Média,GLOBO ,NOVELAS DAS 23H
11,2022,Verdades  Secretas II,81,GLOBO ,NOVELAS DAS 23H
12,,,,GLOBO ,NOVELAS DAS 23H
13,,,,GLOBO ,NOVELAS DAS 23H
14,REPRISES,REPRISES,,GLOBO ,NOVELAS DAS 23H
15,,,,GLOBO ,NOVELAS DAS 23H
16,Ano,Reprise,Média,GLOBO ,NOVELAS DAS 23H
17,2021,Verdades  Secretas,133,GLOBO ,NOVELAS DAS 23H
0,Ano,Temporada,Média,GLOBO ,MALHAÇÃO
1,1995,Malhação 95,254,GLOBO ,MALHAÇÃO
2,1996,Malhação de  Verão,241,GLOBO ,MALHAÇÃO
3,1996,Malhação 96,243,GLOBO ,MALHAÇÃO
4,1997,Malhação 97,213,GLOBO ,MALHAÇÃO
5,1998,Radical,195,GLOBO ,MALHAÇÃO
6,1998,Malhação.com,191,GLOBO ,MALHAÇÃO
7,1999,Malhação 99,228,GLOBO ,MALHAÇÃO
8,,,,GLOBO ,MALHAÇÃO
9,Ano,Temporada,Média,GLOBO ,MALHAÇÃO
10,2000,Malhação  2000,260,GLOBO ,MALHAÇÃO
11,2001,Malhação  2001,265,GLOBO ,MALHAÇÃO
12,2002,Malhação  2002,282,GLOBO ,MALHAÇÃO
13,2003,Malhação  2003,297,GLOBO ,MALHAÇÃO
14,2004,Malhação  2004,323,GLOBO ,MALHAÇÃO
15,2005,Malhação  2005,322,GLOBO ,MALHAÇÃO
16,2006,Malhação  2006,310,GLOBO ,MALHAÇÃO
17,2007,Malhação  2007,245,GLOBO ,MALHAÇÃO
18,2007,Malhação  2008,215,GLOBO ,MALHAÇÃO
19,2009,Malhação  2009,209,GLOBO ,MALHAÇÃO
20,2009,Identidade,190,GLOBO ,MALHAÇÃO
21,,,,GLOBO ,MALHAÇÃO
22,Ano,Temporada,Média,GLOBO ,MALHAÇÃO
23,2010,Malhação  2010,191,GLOBO ,MALHAÇÃO
24,2011,Conectados,160,GLOBO ,MALHAÇÃO
25,2012,Intensa  como a Vida,148,GLOBO ,MALHAÇÃO
26,2013,Casa Cheia,142,GLOBO ,MALHAÇÃO
27,2014,Sonhos,159,GLOBO ,MALHAÇÃO
28,2015,Seu Lugar  no Mundo,167,GLOBO ,MALHAÇÃO
29,2016,Pro Dia  Nascer Feliz,186,GLOBO ,MALHAÇÃO
30,2017,Viva a  Diferença,204,GLOBO ,MALHAÇÃO
31,2018,Vidas  Brasileiras,162,GLOBO ,MALHAÇÃO
32,2019,Toda Forma  de Amar,181,GLOBO ,MALHAÇÃO
33,,,,GLOBO ,MALHAÇÃO
34,,,,GLOBO ,MALHAÇÃO
35,Ano,Reprise,Média,GLOBO ,MALHAÇÃO
36,1996,Malhação 95,246,GLOBO ,MALHAÇÃO
37,1997,Malhação 96,202,GLOBO ,MALHAÇÃO
38,2020,Viva a  Diferença,188,GLOBO ,MALHAÇÃO
39,2021,Sonhos,157,GLOBO ,MALHAÇÃO
0,REPRISES VESPERTINAS,REPRISES VESPERTINAS,,GLOBO ,REPRISES
1,,,,GLOBO ,REPRISES
2,Ano,Novela,Média,GLOBO ,REPRISES
3,1968,A Grande  Mentira,42,GLOBO ,REPRISES
4,1969,Rosa  Rebelde,49,GLOBO ,REPRISES
5,1970,A Cabana do  Pai Tomás,51,GLOBO ,REPRISES
6,1970,Pigmalião  70,49,GLOBO ,REPRISES
7,1970,A Próxima  Atração,75,GLOBO ,REPRISES
8,1971,A Pequena  Órfã,76,GLOBO ,REPRISES
9,1971,Meu  Pedacinho de Chão,72,GLOBO ,REPRISES
10,1972,O Primeiro  Amor,89,GLOBO ,REPRISES
11,1973,Uma Rosa  com Amor,100,GLOBO ,REPRISES
12,1974,Carinhoso,99,GLOBO ,REPRISES
13,1976,Helena,136,GLOBO ,REPRISES
14,1976,Senhora,132,GLOBO ,REPRISES
15,1976,O Noviço,144,GLOBO ,REPRISES
16,1976,A Moreninha,147,GLOBO ,REPRISES
17,1976,Vejo a Lua  no Céu,145,GLOBO ,REPRISES
18,1977,O Feijão e  o Sonho,148,GLOBO ,REPRISES
19,1977,Escrava  Isaura,183,GLOBO ,REPRISES
20,1978,Locomotivas,172,GLOBO ,REPRISES
21,1978,Carinhoso,216,GLOBO ,REPRISES
22,1979,Estúpido  Cupido,160,GLOBO ,REPRISES
23,1979,Escrava  Isaura,330,GLOBO ,REPRISES
24,1980,À Sombra dos Laranjais,-,GLOBO ,REPRISES
25,1986,Locomotivas,276,GLOBO ,REPRISES
26,1996,Malhação  (1995),246,GLOBO ,REPRISES
27,1997,Malhação  (1996),202,GLOBO ,REPRISES
28,2020,Novo Mundo,192,GLOBO ,REPRISES
29,2020,Malhação:  Viva a Diferença,188,GLOBO ,REPRISES
30,2020,Flor do  Caribe,202,GLOBO ,REPRISES
31,2021,Malhação:  Sonhos,157,GLOBO ,REPRISES
32,2021,A Vida da  Gente,195,GLOBO ,REPRISES
33,,,,GLOBO ,REPRISES
34,,,,GLOBO ,REPRISES
35,REPRISES NOTURNAS,REPRISES NOTURNAS,,GLOBO ,REPRISES
36,,,,GLOBO ,REPRISES
37,Ano,Novela,Média,GLOBO ,REPRISES
38,1975,Selva de  Pedra,484,GLOBO ,REPRISES
39,1977,O Bem-Amado,338,GLOBO ,REPRISES
40,1979,Gabriela,337,GLOBO ,REPRISES
41,1981,Duas Vidas,196,GLOBO ,REPRISES
42,1981,O Astro,219,GLOBO ,REPRISES
43,1982,Pecado  Capital,171,GLOBO ,REPRISES
44,1982,Dancin’  Days,155,GLOBO ,REPRISES
45,1983,O Casarão,279,GLOBO ,REPRISES
46,2020,Fina  Estampa,336,GLOBO ,REPRISES
47,2020,Totalmente  Demais,295,GLOBO ,REPRISES
48,2020,A Força do  Querer,299,GLOBO ,REPRISES
49,2020,Haja  Coração,252,GLOBO ,REPRISES
50,2021,Salve-se  Quem Puder,251,GLOBO ,REPRISES
51,2021,Império,274,GLOBO ,REPRISES
52,2021,Pega Pega,222,GLOBO ,REPRISES
53,2021,Verdades  Secretas,133,GLOBO ,REPRISES
54,,,,GLOBO ,REPRISES
55,,,,GLOBO ,REPRISES
56,SESSÃO AVENTURA,SESSÃO AVENTURA,,GLOBO ,REPRISES
57,,,,GLOBO ,REPRISES
58,Ano,Novela,Média,GLOBO ,REPRISES
59,1989,Guerra dos  Sexos,178,GLOBO ,REPRISES
60,1989,Que Rei Sou  Eu?,197,GLOBO ,REPRISES
61,1991,Roque  Santeiro,243,GLOBO ,REPRISES
62,1993,Vamp,219,GLOBO ,REPRISES
0,Ano,Novela,Média,GLOBO ,REAPRESENTAÇÕES
1,2022,Cara e  Coragem,45,GLOBO ,REAPRESENTAÇÕES
2,2023,Vai na Fé,-,GLOBO ,REAPRESENTAÇÕES
0,Ano,Série,Média,GLOBO ,SÉRIES
1,2003,A Grande  Família: 3ª Temporada,392,GLOBO ,SÉRIES
2,2006,A Grande  Família: 6ª Temporada,411,GLOBO ,SÉRIES
3,2007,A Grande  Família: 7ª Temporada,352,GLOBO ,SÉRIES
4,2008,A Grande  Família: 8ª Temporada,291,GLOBO ,SÉRIES
5,2009,A Grande  Família: 9ª Temporada,319,GLOBO ,SÉRIES
6,2009,Força-Tarefa:  1ª Temporada,208,GLOBO ,SÉRIES
7,,,,GLOBO ,SÉRIES
8,Ano,Série,Média,GLOBO ,SÉRIES
9,2010,Força-Tarefa:  2ª Temporada,175,GLOBO ,SÉRIES
10,2010,A Grande  Família: 10ª Temporada,269,GLOBO ,SÉRIES
11,2010,Separação?!,157,GLOBO ,SÉRIES
12,2010,Na Forma da  Lei,170,GLOBO ,SÉRIES
13,2010,Junto &  Misturado,144,GLOBO ,SÉRIES
14,2010,As Cariocas,185,GLOBO ,SÉRIES
15,2010,Clandestinos,167,GLOBO ,SÉRIES
16,2011,Batendo  Ponto,119,GLOBO ,SÉRIES
17,2011,Tapas &  Beijos: 1ª Temporada,273,GLOBO ,SÉRIES
18,2011,Divã,173,GLOBO ,SÉRIES
19,2011,A Grande  Família: 11ª Temporada,266,GLOBO ,SÉRIES
20,2011,Lara com Z,144,GLOBO ,SÉRIES
21,2011,Macho Man:  1ª Temporada,157,GLOBO ,SÉRIES
22,2011,A Mulher  Invisível: 1ª Temporada,220,GLOBO ,SÉRIES
23,2011,A Mulher  Invisível: 2ª Temporada,214,GLOBO ,SÉRIES
24,2011,Força-Tarefa:  3ª Temporada,165,GLOBO ,SÉRIES
25,2011,Macho Man:  2ª Temporada,156,GLOBO ,SÉRIES
26,2012,As  Brasileiras,159,GLOBO ,SÉRIES
27,2012,Louco por  Elas: 1ª Temporada,160,GLOBO ,SÉRIES
28,2012,Tapas &  Beijos: 2ª Temporada,251,GLOBO ,SÉRIES
29,2012,A Grande  Família: 12ª Temporada,242,GLOBO ,SÉRIES
30,2012,Louco por  Elas: 2ª Temporada,155,GLOBO ,SÉRIES
31,2012,Como  Aproveitar o Fim do Mundo,146,GLOBO ,SÉRIES
32,2013,Louco por  Elas: 3ª Temporada,150,GLOBO ,SÉRIES
33,2013,Pé na Cova:  1ª Temporada,143,GLOBO ,SÉRIES
34,2013,Tapas &  Beijos: 3ª Temporada,239,GLOBO ,SÉRIES
35,2013,A Grande  Família: 13ª Temporada,228,GLOBO ,SÉRIES
36,2013,O Dentista  Mascarado,124,GLOBO ,SÉRIES
37,2013,Pé na Cova:  2ª Temporada,165,GLOBO ,SÉRIES
38,2013,A Mulher do  Prefeito,128,GLOBO ,SÉRIES
39,2014,A Teia,138,GLOBO ,SÉRIES
40,2014,Doce de Mãe,137,GLOBO ,SÉRIES
41,2014,Tapas &  Beijos: 4ª Temporada,213,GLOBO ,SÉRIES
42,2014,Pé na Cova:  3ª Temporada,147,GLOBO ,SÉRIES
43,2014,A Grande  Família: 14ª Temporada,203,GLOBO ,SÉRIES
44,2014,Tá no Ar:  1ª Temporada,92,GLOBO ,SÉRIES
45,2014,O Caçador,134,GLOBO ,SÉRIES
46,2014,Segunda  Dama,141,GLOBO ,SÉRIES
47,2014,Sexo e as  Negas,134,GLOBO ,SÉRIES
48,2014,Dupla  Identidade,145,GLOBO ,SÉRIES
49,2015,Tá no Ar:  2ª Temporada,125,GLOBO ,SÉRIES
50,2015,Chapa  Quente: 1ª Temporada,187,GLOBO ,SÉRIES
51,2015,Os  Experientes,116,GLOBO ,SÉRIES
52,2015,Tapas &  Beijos: 5ª Temporada,196,GLOBO ,SÉRIES
53,2015,Amorteamo,120,GLOBO ,SÉRIES
54,2015,Mister  Brau: 1ª Temporada,200,GLOBO ,SÉRIES
55,2015,Pé na Cova:  4ª Temporada,137,GLOBO ,SÉRIES
56,2015,Escolinha  do Professor Raimundo: 1ª Temporada,144,GLOBO ,SÉRIES
57,2016,Tá no Ar:  3ª Temporada,147,GLOBO ,SÉRIES
58,2016,Pé na Cova:  5ª Temporada,142,GLOBO ,SÉRIES
59,2016,Chapa  Quente: 2ª Temporada,209,GLOBO ,SÉRIES
60,2016,Mister  Brau: 2ª Temporada,206,GLOBO ,SÉRIES
61,2016,Supermax,110,GLOBO ,SÉRIES
62,2016,Nada Será  Como Antes,178,GLOBO ,SÉRIES
63,2016,Escolinha  do Professor Raimundo: 2ª Temporada,127,GLOBO ,SÉRIES
64,2016,A Cara do  Pai: 1ª Temporada,92,GLOBO ,SÉRIES
65,2017,Tá no Ar:  4ª Temporada,140,GLOBO ,SÉRIES
66,2017,O Álbum da  Grande Família: 1ª Temporada,73,GLOBO ,SÉRIES
67,2017,Mister  Brau: 3ª Temporada,230,GLOBO ,SÉRIES
68,2017,Vade Retro,152,GLOBO ,SÉRIES
69,2017,A Fórmula,153,GLOBO ,SÉRIES
70,2017,Sob  Pressão: 1ª Temporada,275,GLOBO ,SÉRIES
71,2017,Os  Trapalhões,133,GLOBO ,SÉRIES
72,2017,Filhos da  Pátria: 1ª Temporada,113,GLOBO ,SÉRIES
73,2017,Cidade  Proibida,191,GLOBO ,SÉRIES
74,2017,A Cara do  Pai: 2ª Temporada,135,GLOBO ,SÉRIES
75,2017,Escolinha  do Professor Raimundo: 3ª Temporada,142,GLOBO ,SÉRIES
76,2018,Tá no Ar:  5ª Temporada,143,GLOBO ,SÉRIES
77,2018,Brasil a  Bordo,150,GLOBO ,SÉRIES
78,2018,Mister  Brau: 4ª Temporada,215,GLOBO ,SÉRIES
79,2018,Carcereiros:  1ª Temporada,211,GLOBO ,SÉRIES
80,2018,Sob  Pressão: 2ª Temporada,213,GLOBO ,SÉRIES
81,2018,Escolinha  do Professor Raimundo: 4ª Temporada,125,GLOBO ,SÉRIES
82,2018,Pais de  Primeira,99,GLOBO ,SÉRIES
83,2019,Tá no Ar:  6ª Temporada,113,GLOBO ,SÉRIES
84,2019,O Álbum da  Grande Família: 2ª Temporada,136,GLOBO ,SÉRIES
85,2019,Carcereiros:  2ª Temporada,140,GLOBO ,SÉRIES
86,2019,Sob  Pressão: 3ª Temporada,222,GLOBO ,SÉRIES
87,2019,Assédio: 1ª  Temporada,139,GLOBO ,SÉRIES
88,2019,Cine  Holliúdy: 1ª Temporada,230,GLOBO ,SÉRIES
89,2019,Escolinha  do Professor Raimundo: 5ª Temporada,118,GLOBO ,SÉRIES
90,2019,Filhos da  Pátria: 2ª Temporada,129,GLOBO ,SÉRIES
91,2019,Segunda  Chamada: 1ª Temporada,204,GLOBO ,SÉRIES
92,,,,GLOBO ,SÉRIES
93,Ano,Série,Média,GLOBO ,SÉRIES
94,2020,Aruanas: 1ª  Temporada,194,GLOBO ,SÉRIES
95,2020,Diário de  um Confinado,180,GLOBO ,SÉRIES
96,2020,Amor e  Sorte,195,GLOBO ,SÉRIES
97,2020,Sob  Pressão: Plantão Covid,185,GLOBO ,SÉRIES
98,2020,Escolinha  do Professor Raimundo: 6ª Temporada,98,GLOBO ,SÉRIES
99,2021,Shippados:  1ª Temporada,136,GLOBO ,SÉRIES
100,2021,Carcereiros:  3ª Temporada,213,GLOBO ,SÉRIES
101,2021,Todas as  Mulheres do Mundo,140,GLOBO ,SÉRIES
102,2021,Arcanjo Renegado:  1ª Temporada,147,GLOBO ,SÉRIES
103,2021,Em Nome de  Deus,148,GLOBO ,SÉRIES
104,2021,Sandy &  Junior: A História,103,GLOBO ,SÉRIES
105,2021,Vai que  Cola: 7ª Temporada,170,GLOBO ,SÉRIES
106,2021,Ilha de  Ferro: 1ª Temporada,152,GLOBO ,SÉRIES
107,2021,Sob  Pressão: 4ª Temporada,189,GLOBO ,SÉRIES
108,2021,Desalma: 1ª  Temporada,43,GLOBO ,SÉRIES
109,2021,As Five: 1ª  Temporada,77,GLOBO ,SÉRIES
110,2021,"Eu, a Vó e  a Boi: 1ª Temporada",41,GLOBO ,SÉRIES
111,2021,Vai que  Cola: 8ª Temporada,61,GLOBO ,SÉRIES
112,2021,Fé na Vida:  1ª Temporada,162,GLOBO ,SÉRIES
113,2022,Vai que  Cola: 9ª Temporada,94,GLOBO ,SÉRIES
114,2022,Filhas de Eva:  1ª Temporada,185,GLOBO ,SÉRIES
115,2022,Cine  Holliúdy: 2ª Temporada,179,GLOBO ,SÉRIES
116,2022,Ilha de  Ferro: 2ª Temporada,141,GLOBO ,SÉRIES
117,2022,Família  Paraíso: 1ª Temporada,104,GLOBO ,SÉRIES
118,2023,"Pluft, o  Fantasminha",98,GLOBO ,SÉRIES
119,2023,Onde Está  Meu Coração,-,GLOBO ,SÉRIES
120,,,,GLOBO ,SÉRIES
121,,,,GLOBO ,SÉRIES
122,INTERNACIONAIS,INTERNACIONAIS,,GLOBO ,SÉRIES
123,,,,GLOBO ,SÉRIES
124,Ano,Série,Média,GLOBO ,SÉRIES
125,2013,Terra Nova,70,GLOBO ,SÉRIES
126,2013,Castle,60,GLOBO ,SÉRIES
127,2013,Prova do  Crime,81,GLOBO ,SÉRIES
128,2014,Under the  Dome: 1ª Temporada,72,GLOBO ,SÉRIES
129,2015,Under the  Dome: 2ª Temporada,74,GLOBO ,SÉRIES
130,2015,Filhos da  Guerra,43,GLOBO ,SÉRIES
131,2017,Máquina  Mortífera: 1ª Temporada,162,GLOBO ,SÉRIES
132,2018,Máquina  Mortífera: 2ª Temporada,145,GLOBO ,SÉRIES
133,2019,Máquina  Mortífera: 3ª Temporada,153,GLOBO ,SÉRIES
134,2019,The Good  Doctor: 1ª Temporada,133,GLOBO ,SÉRIES
135,2020,Manifest:  1ª Temporada,144,GLOBO ,SÉRIES
136,2020,The Good  Doctor: 2ª Temporada,127,GLOBO ,SÉRIES
137,2021,The Good  Doctor: 3ª Temporada,108,GLOBO ,SÉRIES
138,2022,The Good  Doctor: 4ª Temporada,97,GLOBO ,SÉRIES
139,2022,This is Us:  1ª Temporada,133,GLOBO ,SÉRIES
140,,,,GLOBO ,SÉRIES
141,,,,GLOBO ,SÉRIES
142,REPRISES,REPRISES,,GLOBO ,SÉRIES
143,,,,GLOBO ,SÉRIES
144,Ano,Série,Média,GLOBO ,SÉRIES
145,2020,Cine  Holliúdy: 1ª Temporada,224,GLOBO ,SÉRIES
146,2020,Tapas &  Beijos,131,GLOBO ,SÉRIES
0,Ano,Minissérie,Média,GLOBO ,MINISSÉRIES
1,1982,Lampião e  Maria Bonita,221,GLOBO ,MINISSÉRIES
2,1982,Avenida  Paulista,162,GLOBO ,MINISSÉRIES
3,1982,Quem Ama  Não Mata,176,GLOBO ,MINISSÉRIES
4,1983,Moinhos de  Vento,158,GLOBO ,MINISSÉRIES
5,1983,Bandidos da  Falange,196,GLOBO ,MINISSÉRIES
6,1983,Parabéns  pra Você,209,GLOBO ,MINISSÉRIES
7,1984,Padre  Cícero,140,GLOBO ,MINISSÉRIES
8,1984,"Anarquistas,  Graças a Deus",147,GLOBO ,MINISSÉRIES
9,1984,Meu Destino  é Pecar,155,GLOBO ,MINISSÉRIES
10,1984,A Máfia no  Brasil,221,GLOBO ,MINISSÉRIES
11,1984,Rabo-de-Saia,231,GLOBO ,MINISSÉRIES
12,1985,O Tempo e o  Vento,247,GLOBO ,MINISSÉRIES
13,1985,Tenda  dos Milagres,-,GLOBO ,MINISSÉRIES
14,1985,Grande  Sertão: Veredas,284,GLOBO ,MINISSÉRIES
15,1986,Anos  Dourados,367,GLOBO ,MINISSÉRIES
16,1986,Memórias de  um Gigolô,295,GLOBO ,MINISSÉRIES
17,1988,O Pagador  de Promessas,309,GLOBO ,MINISSÉRIES
18,1988,O  Primo Basílio,-,GLOBO ,MINISSÉRIES
19,1988,Abolição,160,GLOBO ,MINISSÉRIES
20,1989,Sampa,123,GLOBO ,MINISSÉRIES
21,1989,República,157,GLOBO ,MINISSÉRIES
22,,,,GLOBO ,MINISSÉRIES
23,Ano,Minissérie,Média,GLOBO ,MINISSÉRIES
24,1990,Desejo,247,GLOBO ,MINISSÉRIES
25,1990,"A, E, I,  O... Urca",189,GLOBO ,MINISSÉRIES
